,,,,,,,,Eurobarometer - 99.2,,,,,,,,,,,,,,,,,,,,,,,
,,VOL A weighted,,,,,Terrain/Fieldwork :  11/04 - 16/05/2023,,,,,,,,,,,,,,,,,,,,,,,,
,"QB1.4. Pour chacun des types de discrimination suivants, dites-moi si, selon vous, il s'agit de quelque chose de très répandu, assez répandu, plutôt rare ou très rare en (NOTRE PAYS) ? Les discriminations désignent le fait d'être traité de manière défavorable par rapport à d'autres personnes, sur la base de critères arbitraires. Des discriminations basées sur…  ",,,,,,"QB1.4. For each of the following types of discrimination, could you please tell me whether, in your opinion, it is very widespread, fairly widespread, fairly rare or very rare in (OUR COUNTRY)? By discrimination we mean when somebody is treated unfavourably compared with others based on arbitrary criteria. Discrimination on the basis of… ",,,,,,,,,,,,,,,,,,,,,,,,
,"L'orientation sexuelle (être par exemple lesbienne, gay ou bisexuel·le)",,,,,,"Sexual orientation (for example being lesbian, gay or bisexual)",,,,,,,,,,,,,,,,,,,,,,,,
,Base: Ensemble,,,,,,Base: All respondents,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"UE27
EU27",BE,BG,CZ,DK,D-W,DE,D-E,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE
,Être intersexe,,,,,,Being intersex,,,,,,,,,,,,,,,,,,,,,,,,
,Base: Ensemble,,,,,,Base: All respondents,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<<Back to content,,"UE27
EU27",BE,BG,CZ,DK,D-W,DE,D-E,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE
,Total,26399,1011,1012,1025,1019,1227,1525,298,1009,1016,1014,1004,1006,1012,1027,504,1009,1005,508,1021,514,1004,1012,1015,1021,1053,1000,1021,1009,1019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Très répandu,3773,111,128,38,121,137,160,23,68,108,233,132,187,176,193,94,65,127,31,154,25,159,105,159,175,133,171,102,45,110
,Very widespread,14%,11%,13%,4%,12%,11%,11%,8%,7%,11%,23%,13%,19%,17%,19%,19%,6%,13%,6%,15%,5%,16%,10%,16%,17%,13%,17%,10%,5%,11%
,Plutôt répandu,8649,389,223,156,290,364,457,93,130,315,413,312,353,271,459,213,140,274,121,244,140,371,270,327,402,260,303,182,269,312
,Fairly widespread,33%,39%,22%,15%,28%,30%,30%,31%,13%,31%,41%,31%,35%,27%,45%,42%,14%,27%,24%,24%,27%,37%,27%,32%,39%,25%,30%,18%,27%,31%
,Plutôt rare,5997,343,217,284,272,330,404,74,222,212,204,197,183,261,214,80,159,156,179,244,177,267,248,244,114,232,224,181,286,319
,Fairly rare,23%,34%,21%,28%,27%,27%,26%,25%,22%,21%,20%,20%,18%,26%,21%,16%,16%,16%,35%,24%,35%,26%,24%,24%,11%,22%,22%,18%,28%,31%
,Très rare,3338,86,151,301,179,165,217,52,238,156,46,149,87,155,67,42,196,143,79,185,118,111,167,138,29,211,195,296,142,136
,Very rare,13%,8%,15%,29%,17%,13%,14%,17%,24%,15%,5%,15%,9%,15%,6%,8%,19%,14%,16%,18%,23%,11%,17%,14%,3%,20%,20%,29%,14%,13%
,Non-existant (SPONTANÉ),643,10,38,47,16,21,32,11,65,31,22,28,9,22,17,25,109,34,12,54,5,17,37,50,29,36,22,29,11,12
,Non-existent (SPONTANEOUS),2%,1%,4%,5%,2%,2%,2%,4%,6%,3%,2%,3%,1%,2%,2%,5%,11%,3%,2%,5%,1%,2%,4%,5%,3%,3%,2%,3%,1%,1%
,Ne sait pas,3998,73,255,200,140,209,254,45,286,195,97,187,187,127,78,51,339,271,85,141,48,79,184,97,273,180,86,231,255,130
,Don't know,15%,7%,25%,19%,14%,17%,17%,15%,28%,19%,9%,18%,18%,13%,7%,10%,34%,27%,17%,14%,9%,8%,18%,9%,27%,17%,9%,22%,25%,13%
,Total 'Répandu',12422,500,351,194,411,501,618,116,197,422,646,444,541,447,651,306,205,401,152,398,166,530,375,485,577,393,474,284,314,422
,Total 'Widespread',47%,50%,35%,19%,40%,41%,41%,39%,20%,42%,64%,44%,54%,44%,64%,61%,20%,40%,30%,39%,32%,53%,37%,48%,56%,38%,47%,28%,32%,42%
,Total 'Rare',9335,428,368,584,451,495,621,126,460,368,250,346,270,416,281,122,355,299,258,428,296,378,415,382,142,443,418,477,428,455
,Total 'Rare',36%,42%,36%,57%,44%,40%,40%,42%,46%,36%,25%,35%,27%,41%,27%,24%,35%,30%,51%,42%,58%,37%,41%,38%,14%,42%,42%,47%,42%,44%
,,VOL A weighted,,,,,Terrain/Fieldwork :  11/04 - 16/05/2023,,,,,,,,,,,,,,,,,,,,,,,,
,"QB2. Au cours des 12 derniers mois, vous êtes-vous senti·e personnellement discriminé·e ou avez-vous été victime de harcèlement pour l'une ou plusieurs des raisons suivantes ? Veuillez m'indiquer toutes les raisons qui s'appliquent. (PLUSIEURS RÉPONSES POSSIBLES)",,,,,,QB2. In the past 12 months have you personally felt discriminated against or experienced harassment on one or more of the following reasons? Please tell me all that apply. (MULTIPLE ANSWERS POSSIBLE),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Base: Ensemble,,,,,,Base: All respondents,,,,,,,,,,,,,,,,,,,,,,,,
,"L'orientation sexuelle (être par exemple lesbienne, gay ou bisexuel·le)",337,30,8,5,22,17,22,5,7,11,6,6,10,6,21,1,9,0,16,3,10,25,31,8,5,12,3,14,8,16
,"Sexual orientation (for example being lesbian, gay or bisexual)",1%,3%,1%,-,2%,1%,1%,2%,1%,1%,1%,1%,1%,1%,2%,-,1%,-,3%,-,2%,2%,3%,1%,-,1%,-,1%,1%,2%
,Être transgenre,116,12,3,2,2,4,4,0,5,2,1,1,3,7,6,1,3,0,6,1,2,4,15,8,0,15,4,6,4,5
